id,label,thumbnail,family_id,group_id,created_at,updated_at,deleted_at
1,"Turnip, Purple Top","https://selectorimages.blob.core.windows.net/selectorimages/Turnip, Purple Top/Turnip_Purple_Top_mature_Bjorkman_2020.jpg",3,1,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.048-05,
2,"Turnip, Forage","https://selectorimages.blob.core.windows.net/selectorimages/Turnip, Forage/Turnip_flowering_Bjorkman_2020.jpg",3,1,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.046-05,
3,"Rapeseed, Forage",https://selectorimages.blob.core.windows.net/selectorimages/Rapeseed/Rapeseed_flowering_Raubenstein_2020.jpg,3,1,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.031-05,
4,"Rape, Oilseed, Winter","https://selectorimages.blob.core.windows.net/selectorimages/Radish, Oilseed/Radish_mature_Ackroyd_2020b.jpg",3,1,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.029-05,
5,"Rape, Oilseed, Spring","https://selectorimages.blob.core.windows.net/selectorimages/Radish, Oilseed/Radish_mature_Ackroyd_2020b.jpg",3,1,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.028-05,
6,"Radish, Oilseed","https://selectorimages.blob.core.windows.net/selectorimages/Radish, Oilseed/Radish_mature_Ackroyd_2020b.jpg",3,1,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.026-05,
7,"Radish, Forage","https://selectorimages.blob.core.windows.net/selectorimages/Radish, Forage/Radish_mature_Weil_2020a.jpg",3,1,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.025-05,
8,Mustard,https://selectorimages.blob.core.windows.net/selectorimages/Mustard/Mustard_flowering_Bjorkman_2020b.jpg,3,1,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.017-05,
9,"Brassica, Forage","https://selectorimages.blob.core.windows.net/selectorimages/Brassica, Forage/Brassica_flowering_pollinator_Kelly Gill_2020.jpg",3,1,2022-10-31 16:02:46.216-04,2022-11-07 13:32:31.994-05,
10,Sunflower,https://selectorimages.blob.core.windows.net/selectorimages/Sunflower/Sunflower_flowering_Ackroyd_2020a.JPG,1,2,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.039-05,
11,Phacelia,https://selectorimages.blob.core.windows.net/selectorimages/Phacelia/Phacelia_flowering_pollinator_NancyLeeAdamson_2020.JPG,2,2,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.024-05,
12,Buckwheat,https://selectorimages.blob.core.windows.net/selectorimages/Buckwheat/Buckwheat_flowering_pollinator_Kelly Gill_2020.jpg,6,2,2022-10-31 16:02:46.216-04,2022-11-07 13:32:31.996-05,
13,"Wheat, Winter","https://selectorimages.blob.core.windows.net/selectorimages/Wheat, Spring/Wheat_spring_mature_Ackroyd_2020.JPG",5,3,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.051-05,
14,"Wheat, Spring","https://selectorimages.blob.core.windows.net/selectorimages/Wheat, Spring/Wheat_spring_mature_Ackroyd_2020.JPG",5,3,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.05-05,
15,"Triticale, Winter","https://selectorimages.blob.core.windows.net/selectorimages/Triticale, Winter/Triticale_mature_Salon_2020.JPG",5,3,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.045-05,
16,"Triticale, Spring","https://selectorimages.blob.core.windows.net/selectorimages/Triticale, Winter/Triticale_mature_Salon_2020.JPG",5,3,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.044-05,
17,Teff,https://selectorimages.blob.core.windows.net/selectorimages/Teff/Teff_mature_Brown_2020.jpg,5,3,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.043-05,
18,Sudangrass,https://selectorimages.blob.core.windows.net/selectorimages/Sudangrass/Sudangrass_mature_Ziegler_2020b.jpg,5,3,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.038-05,
19,Sorghum-sudangrass,https://selectorimages.blob.core.windows.net/selectorimages/Sorghum Sudangrass/Sorghum sudangrass_mature_Larson_2020.JPG,5,3,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.036-05,
20,Sorghum,https://selectorimages.blob.core.windows.net/selectorimages/Sorghum/Sorghum_flowering_Eagen_2020.jpg,5,3,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.035-05,
21,"Ryegrass, Perennial","https://selectorimages.blob.core.windows.net/selectorimages/Ryegrass, Perennial/Ryegrass_perennial_flowering_Ziegler_2020.jpg",5,3,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.033-05,
22,"Ryegrass, Annual","https://selectorimages.blob.core.windows.net/selectorimages/Ryegrass, Annual/Annual_ryegrass_mature_Ackroyd_2020b.JPG",5,3,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.032-05,
23,"Oats, Spring",https://selectorimages.blob.core.windows.net/selectorimages/Oats/Oats_mature_Bjorkman_2020.jpg,5,3,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.02-05,
24,"Oats, Black","https://selectorimages.blob.core.windows.net/selectorimages/Oats, Black/Oats_black_mature_Eagen_2020.jpg",5,3,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.019-05,
25,Oats,https://selectorimages.blob.core.windows.net/selectorimages/Oats/Oats_mature_Bjorkman_2020.jpg,5,3,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.018-05,
26,"Millet, Pearl","https://selectorimages.blob.core.windows.net/selectorimages/Millet, Pearl/Millet_pearl_flowering_Larson_2020.JPG",5,3,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.015-05,
28,"Millet, Japanese","https://selectorimages.blob.core.windows.net/selectorimages/Millet, Japanese/Millet_Japanese_flowering_Brown_2020.jpg",5,3,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.014-05,
29,Corn,https://selectorimages.blob.core.windows.net/selectorimages/Corn/Corn_young_Mirsky_lab_2020.JPG,5,3,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.011-05,
30,"Cereal Rye, Winter","https://selectorimages.blob.core.windows.net/selectorimages/Cereal Rye, Winter/Cereal_rye_mature_Bjorkman_2020.jpg",5,3,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32-05,
31,"Cereal Rye, Spring","https://selectorimages.blob.core.windows.net/selectorimages/Cereal Rye, Winter/Cereal_rye_mature_Bjorkman_2020.jpg",5,3,2022-10-31 16:02:46.216-04,2022-11-07 13:32:31.998-05,
32,"Barley, Winter","https://selectorimages.blob.core.windows.net/selectorimages/Barley, Winter/Barley_flowering_Eagen_2020.jpg",5,3,2022-10-31 16:02:46.216-04,2022-11-07 13:32:31.99-05,
33,"Barley, Spring","https://selectorimages.blob.core.windows.net/selectorimages/Barley, Spring/Barley_flowering_Brouillette_2020.jpg",5,3,2022-10-31 16:02:46.216-04,2022-11-07 13:32:31.986-05,
34,"Vetch, Hairy","https://selectorimages.blob.core.windows.net/selectorimages/Vetch, Hairy/Vetch_hairy_flowering_Ackroyd_2020.JPG",4,4,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.049-05,
35,"Sweetclover, Yellow","https://selectorimages.blob.core.windows.net/selectorimages/Sweetclover, Yellow/Sweetclover_Yellow_flowering_PublicDomain_2017.jpg",4,4,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.041-05,
36,Sunn Hemp,https://selectorimages.blob.core.windows.net/selectorimages/Sunn Hemp/Sunn_hemp_flowering_Larson_2020.JPG,4,4,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.04-05,
37,Soybeans,https://selectorimages.blob.core.windows.net/selectorimages/Soybeans/Soybean_mature_Ackroyd_2020.jpg,4,4,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.037-05,
38,"Pea, Winter","https://selectorimages.blob.core.windows.net/selectorimages/Pea, Winter/Pea_winter_flowering_Mirsky_lab_2020b.JPG",4,4,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.022-05,
39,"Pea, Spring","https://selectorimages.blob.core.windows.net/selectorimages/Pea, Spring/Spring_pea_flowering_Brown_2020.JPG",4,4,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.021-05,
40,Cowpea,https://selectorimages.blob.core.windows.net/selectorimages/Cowpea/Cowpea_mature_Ackroyd_2020.JPG,4,4,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.012-05,
41,"Clover, White","https://selectorimages.blob.core.windows.net/selectorimages/Clover, White/Clover_white_flowering_Ackroyd_2020.JPG",4,4,2022-10-31 16:02:46.216-04,2022-11-07 13:32:32.01-05,
