id,crop_id,zone_id,created_at,updated_at,deleted_at
1,47,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.675-05,
2,47,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.679-05,
3,33,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.681-05,
4,33,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.683-05,
5,33,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.685-05,
6,32,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.687-05,
7,32,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.688-05,
8,32,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.69-05,
9,32,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.691-05,
10,9,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.693-05,
11,9,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.694-05,
12,12,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.695-05,
13,12,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.697-05,
14,12,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.698-05,
15,12,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.699-05,
16,31,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.701-05,
17,31,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.702-05,
18,31,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.703-05,
19,30,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.704-05,
20,30,4,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.705-05,
21,30,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.707-05,
22,30,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.708-05,
23,46,1,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.709-05,
24,45,3,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.711-05,
25,45,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.712-05,
26,44,2,2022-10-31 16:03:01.063-04,2022-11-07 13:32:32.713-05,
