id,crops_zone_id,attribute_value_id,created_at,updated_at,deleted_at
1,1,1164,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
2,1,338,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
3,1,1514,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
4,1,934,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
5,1,181,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
6,1,835,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
7,1,1507,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
8,1,611,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
9,1,1110,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
10,1,1072,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
11,1,423,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
12,1,262,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
13,1,1521,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
14,1,67,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
15,1,182,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
16,1,684,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
17,1,48,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
18,1,419,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
19,1,311,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
20,1,846,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
21,1,329,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
22,1,855,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
23,1,725,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
24,1,865,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
25,1,33,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
26,1,1510,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
27,1,1123,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
28,1,1221,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
29,1,1541,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
30,1,318,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
31,1,146,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
32,1,18,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
33,1,325,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
34,1,1317,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
35,1,295,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
36,1,248,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
37,1,414,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
38,1,850,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
39,1,369,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
40,1,930,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
41,1,1284,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
42,1,343,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
43,1,526,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
44,1,473,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
45,1,839,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
46,1,283,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
47,1,64,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
48,1,1304,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
49,1,951,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
50,1,1462,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
51,1,773,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
52,1,349,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
53,1,1182,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
54,1,1241,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
55,1,334,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
56,1,875,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
57,1,1200,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
58,1,1531,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
59,1,634,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
60,1,1501,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
61,1,1536,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
62,1,1504,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
63,1,1030,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
64,1,1535,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
65,1,503,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
66,1,1503,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
67,1,1075,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
68,1,868,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
69,1,522,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
70,1,751,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
71,1,501,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
72,1,462,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
73,1,1525,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
74,1,487,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
75,1,1498,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
76,1,1279,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
77,1,243,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
78,1,300,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
79,1,1505,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
80,1,910,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
81,1,923,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
82,1,230,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
83,1,1169,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
84,1,1305,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
85,1,1258,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
86,1,860,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
87,1,546,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
88,1,1050,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
89,1,554,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
90,1,236,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
91,1,375,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
92,1,552,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
93,1,533,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
94,1,364,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
95,1,914,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
96,1,1500,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
97,1,1232,2022-11-07 13:48:40.189386-05,2022-11-07 13:48:40.189386-05,
