id,label,category_id,is_array,is_strict
1,Appearance,14,false,false
2,Base Seeding Rate Max (lbs/A),14,false,false
3,Base Seeding Rate Min (lbs/A),14,false,false
4,C to N Ratio,14,false,false
5,Can Aerial Seed,14,false,false
6,Can Aerial Seed?,14,false,false
7,Can Interseed End,14,false,false
8,Can Interseed Start,14,false,false
9,Chemical Termination at Flowering,14,false,false
10,Chemical Termination at Vegetative,14,false,false
11,Cover Crop Description,14,false,false
12,Cover Crop Group,14,false,false
13,Cover Crop Name,14,false,false
14,Drilled Depth Max,14,false,false
15,Drilled Depth Min,14,false,false
16,Drought Tolerance,14,false,false
17,Dry Matter Max (lbs/A/y),14,false,false
18,Dry Matter Min (lbs/A/y),14,false,false
19,Early Fall/Winter Seeding Rate End,14,false,false
20,Early Fall/Winter Seeding Rate Start,14,false,false
21,Early Spring Growth,14,false,false
22,Early Spring Seeding Rate End,14,false,false
23,Early Spring Seeding Rate Start,14,false,false
24,Ease of Establishment,14,false,false
25,Establishes Quickly,14,false,false
26,Family Common Name,14,false,false
27,Family Scientific Name,14,false,false
28,Flood Tolerance,14,false,false
29,Flooding Frequency Tolerance,14,false,false
30,Forage Harvest Value,14,false,false
31,Freezing Termination at Flowering,14,false,false
32,Freezing Termination at Vegetative,14,false,false
33,Frost Seeding,14,false,false
34,Frost Seeding End,14,false,false
35,Frost Seeding Start,14,false,false
36,Good Grazing,14,false,false
37,Growing Window,14,false,false
38,Heat Tolerance,14,false,false
39,Hessian Fly-Free Date,14,false,false
40,ITIS TSN,14,false,false
41,Improve Soil Organic Matter,14,false,false
42,Increase Soil Aggregation,14,false,false
43,Lasting Residue,14,false,false
44,Late Fall Seeding Rate End,14,false,false
45,Late Fall Seeding Rate Start,14,false,false
46,Late Fall/Winter Seeding Rate Date End,14,false,false
47,Late Fall/Winter Seeding Rate Date Start,14,false,false
48,Late Fall/Winter Seeding Rate End,14,false,false
49,Late Fall/Winter Seeding Rate Start,14,false,false
50,Late Summer Seeding Rate End,14,false,false
51,Late Summer Seeding Rate Start,14,false,false
52,License,14,false,false
53,Low Fertility Tolerance,14,false,false
54,Maximum Tolerant Soil pH,14,false,false
55,Min Germination Temp (F),14,false,false
56,Minimum Tolerant Soil pH,14,false,false
57,Mow Termination at Flowering,14,false,false
58,"Nitrogen Accumulation Max, Legumes (lbs/A/y)",14,false,false
59,"Nitrogen Accumulation Min, Legumes (lbs/A/y)",14,false,false
60,Nitrogen Fixation,14,false,false
61,Nitrogen Scavenging,14,false,false
62,Notes: Basic Agronomics,14,false,false
63,Notes: Disease,14,false,false
64,Notes: Environmental Tolerances,14,false,false
65,Notes: Forage and Grazing,14,false,false
66,Notes: Goals,14,false,false
67,"Notes: Growth, Roots, and Nutrients",14,false,false
68,Notes: Insects,14,false,false
69,Notes: Nematodes,14,false,false
70,Notes: Planting,14,false,false
71,Notes: Pollinators,14,false,false
72,Notes: Soil Conditions,14,false,false
73,Notes: Taxonomy,14,false,false
74,Notes: Termination,14,false,false
75,Notes: Weeds,14,false,false
76,Origin,14,false,false
77,Outcompetes Summer Annual Weeds,14,false,false
78,Penetrates Plow Pan,14,false,false
79,Persistence,14,false,false
80,Pollinator Food,14,false,false
81,Prevent Fall Soil Erosion,14,false,false
82,Prevent Spring Soil Erosion,14,false,false
83,Reduces Crusting,14,false,false
84,Reduces Surface Compaction,14,false,false
85,Reliable Establishment/Growth End,14,false,false
86,Reliable Establishment/Growth Start,14,false,false
87,Residue Suppresses Summer Annual Weeds,14,false,false
88,Residue Supresses Summer Annual Weeds,14,false,false
89,Roller Crimp Termination at Flowering,14,false,false
90,Roller Crimp Tolerance at Flowering,14,false,false
91,Root Depth,14,false,false
92,Salinity Tolerance,14,false,false
93,Scientific Name,14,false,false
94,Search Synonym,14,false,false
95,Search Synonyms,14,false,false
96,Second Reliable Establishment/Growth End,14,false,false
97,Second Reliable Establishment/Growth Start,14,false,false
98,Second Temperature/Moisture Risk to Establishment End,14,false,false
99,Second Temperature/Moisture Risk to Establishment Start,14,false,false
100,Seed Price per Pound,14,false,false
101,Seeds per Pound,14,false,false
102,Shade Tolerance,14,false,false
103,Soil Moisture Use,14,false,false
104,Standard Fall Seeding Rate End,14,false,false
105,Standard Fall Seeding Rate Start,14,false,false
106,Standard Fall/Winter Seeding Rate Date End,14,false,false
107,Standard Fall/Winter Seeding Rate Date Start,14,false,false
108,Standard Fall/Winter Seeding Rate End,14,false,false
109,Standard Fall/Winter Seeding Rate Start,14,false,false
110,Standard Spring Seeding Rate Date End,14,false,false
111,Standard Spring Seeding Rate Date Start,14,false,false
112,Standard Spring Seeding Rate End,14,false,false
113,Standard Spring Seeding Rate Start,14,false,false
114,Standard Summer Seeding Rate Date End,14,false,false
115,Standard Summer Seeding Rate Date Start,14,false,false
116,Standard Summer Seeding Rate End,14,false,false
117,Standard Summer Seeding Rate Start,14,false,false
118,Supports Mycorrhizae,14,false,false
119,Suppresses Winter Annual Weeds,14,false,false
120,Supresses Winter Annual Weeds,14,false,false
