id,value,data_type,attribute_id,created_at,updated_at,deleted_at
1,"Reliable establishment ends august mid, should end september early",string,1,2022-10-28 13:00:49.486537-04,2022-10-28 13:00:49.486537-04,
2,"Reliable establishment missing for Sept Mid; Temp risk starts sept mid end october mid (incorrect, should start/end oct mid, meaning only block)",string,1,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
3,"Second Reliable Establishment starts early august, should start mid august. Second reliable establishment ends mid august but shuould end mid september",string,1,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
4,"Second reliable establishment ends August Mid, should end September mid",string,1,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
5,"Second reliable starts augus early, should start augus mid. Missing september mid.",string,1,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
6,"Starts augus early, should start august mid, ",string,1,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
7,good,string,1,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
8,"reliable establishment starts may early, should start mid may. ",string,1,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
9,"second reliable establishment starts early agusut, should start mid. Second reliable establishment ends mid august, should end mid september.",string,1,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
10,10,number,2,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
11,100,number,2,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
12,12,number,2,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
13,120,number,2,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
14,15,number,2,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
15,150,number,2,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
16,16,number,2,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
17,2,number,2,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
18,20,number,2,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
19,25,number,2,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
20,30,number,2,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
21,35,number,2,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
22,4,number,2,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
23,40,number,2,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
24,50,number,2,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
25,60,number,2,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
26,8,number,2,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
27,80,number,2,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
28,9,number,2,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
29,90,number,2,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
30,1,number,3,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
31,10,number,3,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
32,100,number,3,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
33,12,number,3,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
34,15,number,3,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
35,25,number,3,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
36,3,number,3,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
37,30,number,3,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
38,35,number,3,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
39,40,number,3,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
40,5,number,3,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
41,50,number,3,2022-10-28 13:00:49.492188-04,2022-10-28 13:00:49.492188-04,
