id,label,is_array,is_strict,category_id,created_at,updated_at,deleted_at
1,Appearance,false,false,14,2022-10-28 13:00:32.986475-04,2022-10-28 13:00:32.986475-04,
2,Base Seeding Rate Max (lbs/A),false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
3,Base Seeding Rate Min (lbs/A),false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
4,C to N Ratio,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
5,Can Aerial Seed,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
6,Can Aerial Seed?,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
7,Can Interseed End,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
8,Can Interseed Start,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
9,Chemical Termination at Flowering,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
10,Chemical Termination at Vegetative,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
11,Cover Crop Description,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
12,Cover Crop Group,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
13,Cover Crop Name,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
14,Drilled Depth Max,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
15,Drilled Depth Min,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
16,Drought Tolerance,false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
17,Dry Matter Max (lbs/A/y),false,false,14,2022-10-28 13:00:32.990998-04,2022-10-28 13:00:32.990998-04,
