id,label,created_at,updated_at,deleted_at
1,"Turnip, Purple Top",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.738-04,
2,"Turnip, Forage",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.737-04,
3,"Rapeseed, Forage",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.725-04,
4,"Rape, Oilseed, Winter",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.724-04,
5,"Rape, Oilseed, Spring",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.723-04,
6,"Radish, Oilseed",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.722-04,
7,"Radish, Forage",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.721-04,
8,Mustard,2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.715-04,
9,"Brassica, Forage",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.694-04,
10,Sunflower,2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.731-04,
11,Phacelia,2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.72-04,
12,Buckwheat,2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.696-04,
13,"Wheat, Winter",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.74-04,
14,"Wheat, Spring",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.739-04,
15,"Triticale, Winter",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.736-04,
16,"Triticale, Spring",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.735-04,
17,Teff,2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.734-04,
18,Sudangrass,2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.73-04,
19,Sorghum-sudangrass,2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.728-04,
20,Sorghum,2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.728-04,
21,"Ryegrass, Perennial",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.727-04,
22,"Ryegrass, Annual",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.726-04,
23,"Oats, Spring",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.718-04,
24,"Oats, Black",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.717-04,
25,Oats,2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.716-04,
26,"Millet, Pearl",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.714-04,
28,"Millet, Japanese",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.713-04,
29,Corn,2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.71-04,
30,"Cereal Rye, Winter",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.7-04,
31,"Cereal Rye, Spring",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.698-04,
32,"Barley, Winter",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.692-04,
33,"Barley, Spring",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.69-04,
34,"Vetch, Hairy",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.738-04,
35,"Sweetclover, Yellow",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.733-04,
36,Sunn Hemp,2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.732-04,
37,Soybeans,2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.729-04,
38,"Pea, Winter",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.72-04,
39,"Pea, Spring",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.719-04,
40,Cowpea,2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.712-04,
41,"Clover, White",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.709-04,
42,"Clover, Red",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.708-04,
43,"Clover, Crimson",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.707-04,
44,"Clover, Berseem",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.704-04,
45,"Clover, Balansa",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.703-04,
46,"Clover, Alsike",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.701-04,
47,"Alfalfa, Dormant",2022-10-13 13:43:21.307-04,2022-10-28 12:48:36.683-04,
