id,crop_id,zone_id,created_at,updated_at,deleted_at
1,47,2,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.958-04,
2,47,4,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.96-04,
3,33,3,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.961-04,
4,33,1,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.962-04,
5,33,2,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.964-04,
6,32,2,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.965-04,
7,32,4,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.966-04,
8,32,3,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.967-04,
9,32,1,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.968-04,
10,9,3,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.969-04,
11,9,2,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.97-04,
12,12,1,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.971-04,
13,12,3,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.972-04,
14,12,4,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.973-04,
15,12,2,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.974-04,
16,31,2,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.975-04,
17,31,3,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.976-04,
18,31,4,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.977-04,
19,30,1,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.978-04,
20,30,4,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.979-04,
21,30,3,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.98-04,
22,30,2,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.981-04,
23,46,1,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.982-04,
24,45,3,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.983-04,
25,45,2,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.984-04,
26,44,2,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.985-04,
27,44,3,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.986-04,
28,44,1,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.987-04,
29,43,4,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.988-04,
30,43,3,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.989-04,
31,43,2,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.99-04,
32,43,1,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.991-04,
33,42,2,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.992-04,
34,42,3,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.993-04,
35,42,4,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.994-04,
36,42,1,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.995-04,
37,41,1,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.996-04,
38,41,2,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.997-04,
39,29,2,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.998-04,
40,40,3,2022-10-13 13:43:29.376-04,2022-10-28 12:48:36.999-04,
41,40,1,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37-04,
42,40,2,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.001-04,
43,40,4,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.002-04,
44,28,2,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.002-04,
45,28,3,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.003-04,
46,28,1,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.004-04,
47,26,4,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.005-04,
49,26,3,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.006-04,
51,26,2,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.007-04,
53,26,1,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.008-04,
55,8,4,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.009-04,
56,8,1,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.01-04,
57,8,2,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.011-04,
58,8,3,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.012-04,
59,25,3,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.013-04,
60,25,2,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.014-04,
61,25,1,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.015-04,
62,25,4,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.015-04,
63,24,2,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.016-04,
64,24,3,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.017-04,
65,23,3,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.018-04,
66,23,4,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.019-04,
67,39,1,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.02-04,
68,39,3,2022-10-13 13:43:29.376-04,2022-10-28 12:48:37.021-04,
